Player,Name_Key,First_Name_Key,Last_Name_Key,Best_Rank,Best_Rank_Year,Latest_Pipeline_Year,Latest_Position,Latest_Team,Latest_Level,Latest_Age,Pipeline_Appearances,All_Pipeline_Years
Nick Madrigal,nick madrigal,nick,madrigal,40,2021,2021,2B,Los Angeles Angels,AAA,29,3,2019;2020;2021
Ryan McMahon,ryan mcmahon,ryan,mcmahon,41,2018,2018,1B/2B/3B,New York Yankees,MLB,31,1,2018
Hunter Renfroe,hunter renfroe,hunter,renfroe,42,2017,2017,OF,Kansas City Royals,MLB,34,1,2017
Mike Sirota,mike sirota,mike,sirota,42,2026,2026,OF,Los Angeles Dodgers,A+,22,1,2026
Konnor Griffin,konnor griffin,konnor,griffin,43,2025,2025,SS,Pittsburgh Pirates,MLB,20,1,2025
Kristian Robinson,kristian robinson,kristian,robinson,43,2020,2021,OF,Arizona Diamondbacks,AAA,25,2,2020;2021
Masyn Winn,masyn winn,masyn,winn,43,2024,2024,SS,St. Louis Cardinals,MLB,24,2,2023;2024
Theo Gillen,theo gillen,theo,gillen,43,2026,2026,OF,Tampa Bay Rays,A+,20,2,2025;2026
Edwin Arroyo,edwin arroyo,edwin,arroyo,44,2023,2026,SS,Cincinnati Reds,AAA,22,4,2023;2024;2025;2026
Estevan Florial,estevan florial,estevan,florial,44,2018,2019,OF,—,—,28,2,2018;2019
Jeter Downs,jeter downs,jeter,downs,44,2020,2021,SS,New York Yankees,AAA,27,2,2020;2021
Joe Mack,joe mack,joe,mack,44,2026,2026,C,Miami Marlins,MLB,23,1,2026
Luis Campusano,luis campusano,luis,campusano,44,2022,2022,C,San Diego Padres,MLB,27,3,2020;2021;2022
Yordan Alvarez,yordan alvarez,yordan,alvarez,44,2019,2019,OF,Houston Astros,MLB,28,1,2019
Bryson Stott,bryson stott,bryson,stott,45,2022,2022,SS,Philadelphia Phillies,MLB,28,2,2020;2022
Eduardo Tait,eduardo tait,eduardo,tait,45,2026,2026,C,Minnesota Twins,A+,19,2,2025;2026
Jett Williams,jett williams,jett,williams,45,2024,2026,3B/SS/OF,Milwaukee Brewers,AAA,22,3,2024;2025;2026
Vidal Bruján,vidal brujan,vidal,brujan,45,2020,2022,OF/2B/SS,New York Mets,MLB,28,3,2020;2021;2022
Aaron Judge,aaron judge,aaron,judge,46,2017,2017,OF,New York Yankees,MLB,34,1,2017
Bryce Rainer,bryce rainer,bryce,rainer,46,2026,2026,SS,Detroit Tigers,A+,20,2,2025;2026
Elijah Green,elijah green,elijah,green,46,2023,2023,OF,Washington Nationals,A+,22,1,2023
Jordan Groshans,jordan groshans,jordan,groshans,46,2021,2022,3B/SS,Atlanta Braves,AA,26,3,2020;2021;2022
Tyler Black,tyler black,tyler,black,46,2024,2024,1B,Milwaukee Brewers,AAA,25,1,2024
Angel Genao,angel genao,angel,genao,47,2026,2026,SS,Cleveland Guardians,AAA,21,2,2025;2026
Anthony Alford,anthony alford,anthony,alford,47,2018,2018,OF,—,—,31,2,2017;2018
George Valera,george valera,george,valera,47,2022,2023,OF,Cleveland Guardians,AAA,25,2,2022;2023
Jorge Mateo,jorge mateo,jorge,mateo,47,2017,2018,SS/2B,Atlanta Braves,MLB,30,2,2017;2018
Owen Caissie,owen caissie,owen,caissie,47,2024,2025,OF,Miami Marlins,MLB,23,2,2024;2025
Blake Mitchell,blake mitchell,blake,mitchell,48,2025,2026,C,Kansas City Royals,A+,21,3,2024;2025;2026
Brady House,brady house,brady,house,48,2024,2024,3B,Washington Nationals,MLB,22,2,2022;2024
Michael Arroyo,michael arroyo,michael,arroyo,48,2026,2026,2B/OF,Seattle Mariners,AA,21,2,2025;2026
Josh Lowe,josh lowe,josh,lowe,50,2022,2022,OF,Los Angeles Angels,MLB,28,1,2022
Nick Gordon,nick gordon,nick,gordon,50,2017,2018,SS/2B,Kansas City Royals,AAA,30,2,2017;2018
MJ Melendez,mj melendez,mj,melendez,51,2022,2022,C,New York Mets,MLB,27,1,2022
Michael Busch,michael busch,michael,busch,51,2024,2024,INF,Chicago Cubs,MLB,28,3,2022;2023;2024
Nico Hoerner,nico hoerner,nico,hoerner,51,2020,2020,SS/2B/OF,Chicago Cubs,MLB,29,2,2019;2020
Pete Alonso,pete alonso,pete,alonso,51,2019,2019,1B,Baltimore Orioles,MLB,31,1,2019
Xavier Isaac,xavier isaac,xavier,isaac,51,2025,2025,1B,Tampa Bay Rays,AA,22,2,2024;2025
Brandon Marsh,brandon marsh,brandon,marsh,52,2021,2021,OF,Philadelphia Phillies,MLB,28,2,2020;2021
Franklin Barreto,franklin barreto,franklin,barreto,52,2017,2018,2B/SS,—,—,30,2,2017;2018
Oswald Peraza,oswald peraza,oswald,peraza,52,2023,2023,SS/2B,Los Angeles Angels,MLB,25,2,2022;2023
Billy Carlson,billy carlson,billy,carlson,53,2026,2026,SS,Chicago White Sox,A,19,1,2026
Drew Gilbert,drew gilbert,drew,gilbert,53,2024,2024,OF,San Francisco Giants,MLB,25,1,2024
Jonathan India,jonathan india,jonathan,india,53,2019,2019,2B/3B,Kansas City Royals,MLB,29,1,2019
Logan O'Hoppe,logan o'hoppe,logan,o'hoppe,53,2023,2023,C,Los Angeles Angels,MLB,26,1,2023
Willie Calhoun,willie calhoun,willie,calhoun,53,2018,2018,2B/OF,—,—,31,2,2017;2018
Endy Rodríguez,endy rodriguez,endy,rodriguez,55,2023,2023,C/1B,Pittsburgh Pirates,MLB,25,1,2023
Nick Yorke,nick yorke,nick,yorke,55,2022,2022,2B/OF,Pittsburgh Pirates,MLB,24,1,2022
Arjun Nimmala,arjun nimmala,arjun,nimmala,56,2026,2026,SS,Toronto Blue Jays,AA,20,2,2025;2026
Evan White,evan white,evan,white,56,2020,2020,1B,Los Angeles Angels,AA,30,1,2020
Cooper Pratt,cooper pratt,cooper,pratt,57,2025,2026,SS,Milwaukee Brewers,AAA,21,2,2025;2026
Emil Morales,emil morales,emil,morales,57,2026,2026,SS,Los Angeles Dodgers,A,19,1,2026
Andrés Giménez,andres gimenez,andres,gimenez,58,2019,2019,SS,Toronto Blue Jays,MLB,27,1,2019
Luis Hernández,luis hernandez,luis,hernandez,58,2026,2026,SS,San Francisco Giants,ROK,17,1,2026
Cam Smith,cam smith,cam,smith,59,2025,2025,3B,Houston Astros,MLB,23,1,2025
Kevin Newman,kevin newman,kevin,newman,59,2017,2017,2B/SS,Kansas City Royals,AAA,32,1,2017
Kyle Manzardo,kyle manzardo,kyle,manzardo,59,2024,2024,1B,Cleveland Guardians,MLB,25,2,2023;2024
Ralphy Velazquez,ralphy velazquez,ralphy,velazquez,59,2026,2026,1B/OF,Cleveland Guardians,AA,20,1,2026
Shea Langeliers,shea langeliers,shea,langeliers,59,2022,2022,C,Athletics,MLB,28,3,2020;2021;2022
Jace Jung,jace jung,jace,jung,60,2024,2024,3B/2B,Detroit Tigers,AAA,25,2,2023;2024
Jaison Chourio,jaison chourio,jaison,chourio,60,2025,2025,OF,Cleveland Guardians,AA,20,1,2025
Jazz Chisholm Jr.,jazz chisholm,jazz,chisholm,60,2019,2021,SS/2B,New York Yankees,MLB,28,3,2019;2020;2021
Jacob Berry,jacob berry,jacob,berry,61,2023,2023,OF/3B,Miami Marlins,AAA,25,1,2023
Luke Keaschall,luke keaschall,luke,keaschall,61,2025,2025,2B/OF/1B,Minnesota Twins,MLB,23,1,2025
Gavin Cross,gavin cross,gavin,cross,62,2023,2023,OF,Kansas City Royals,AAA,25,1,2023
Nick Pratto,nick pratto,nick,pratto,62,2022,2022,1B,Texas Rangers,AAA,27,1,2022
Ronny Mauricio,ronny mauricio,ronny,mauricio,62,2020,2022,2B/SS/OF,New York Mets,MLB,25,3,2020;2021;2022
Dominic Smith,dominic smith,dominic,smith,63,2017,2017,1B,Atlanta Braves,MLB,30,1,2017
Drake Baldwin,drake baldwin,drake,baldwin,63,2025,2025,C,Atlanta Braves,MLB,25,1,2025
Heliot Ramos,heliot ramos,heliot,ramos,63,2018,2021,OF,San Francisco Giants,MLB,26,4,2018;2019;2020;2021
Joey Ortiz,joey ortiz,joey,ortiz,63,2024,2024,INF,Milwaukee Brewers,MLB,27,2,2023;2024
Luis Matos,luis matos,luis,matos,63,2022,2022,OF,Milwaukee Brewers,AAA,24,1,2022
Bo Naylor,bo naylor,bo,naylor,64,2023,2023,C,Cleveland Guardians,ROK,26,1,2023
Garrett Mitchell,garrett mitchell,garrett,mitchell,64,2021,2021,OF,Milwaukee Brewers,MLB,27,1,2021
Jake Bauers,jake bauers,jake,bauers,64,2018,2018,1B/OF,Milwaukee Brewers,MLB,30,2,2017;2018
Jhonny Level,jhonny level,jhonny,level,64,2026,2026,SS,San Francisco Giants,A,19,1,2026
Justin Crawford,justin crawford,justin,crawford,64,2025,2025,OF,Philadelphia Phillies,MLB,22,2,2024;2025
Yusniel Díaz,yusniel diaz,yusniel,diaz,64,2019,2019,OF,—,—,29,1,2019
Danny Jansen,danny jansen,danny,jansen,65,2019,2019,C,Texas Rangers,MLB,31,1,2019
Isan Díaz,isan diaz,isan,diaz,65,2017,2017,2B,—,—,29,1,2017
