Age,Acquisition_Type,Games
14,College,6105
14,High School,13998
14,International,7091
15,College,4677
15,International,2849
16,College,1784
16,High School,2
16,International,3875
17,College,65
17,High School,372
17,International,6228
18,College,1616
18,High School,4569
18,International,6576
19,College,5815
19,High School,11114
19,International,8428
20,College,6938
20,High School,11619
20,International,8096
21,College,8335
21,High School,11450
21,International,7553
